,LLM,BT_score,sigma
0,chatgpt-4o-latest,1314.730994551193,2.7652346921271125
1,gemini-1.5-pro-exp-0801,1297.9796663259438,2.3400673255655455
2,gpt-4o-2024-05-13,1285.7989023408697,1.4865080195456761
3,gpt-4o-mini-2024-07-18,1274.5179855112463,2.0793544872521017
4,claude-3-5-sonnet-20240620,1271.0893947650047,1.6271964800546221
5,gemini-advanced-0514,1265.9896518089593,1.4583594158254236
6,llama-3.1-405b-instruct,1263.4933648898602,2.319478984007899
7,gpt-4o-2024-08-06,1261.1692152267958,3.115530652413817
8,gemini-1.5-pro-api-0514,1259.698677484005,1.5339048464683673
9,gemini-1.5-pro-api-0409-preview,1257.2818037855084,1.6471725711937597
10,gpt-4-turbo-2024-04-09,1256.1180858642088,1.175266609948774
11,gpt-4-1106-preview,1250.870337621449,1.3145152508327889
12,mistral-large-2407,1250.885863262269,2.768648876432471
13,athene-70b-0725,1249.7335952391659,2.653127317199733
14,claude-3-opus-20240229,1247.5625766991889,1.2407040605879136
15,llama-3.1-70b-instruct,1245.518094506679,2.7123251672191095
16,gpt-4-0125-preview,1245.2236972526243,1.2737416169191735
17,yi-large-preview,1239.574826351048,1.5144387796623602
18,reka-core-20240722,1227.4095799968557,2.980427150846386
19,gemini-1.5-flash-api-0514,1227.2144196986028,1.5120072082694431
20,deepseek-v2-api-0628,1218.483742654804,2.2940681966324297
21,gemma-2-27b-it,1216.9280232593492,2.1187559932499527
22,deepseek-coder-v2-0724,1216.1391203588173,4.608390416930895
23,yi-large,1212.3016495022548,1.904849212362747
24,nemotron-4-340b-instruct,1209.1770165330702,2.238017089615663
25,bard-jan-24-gemini-pro,1208.4238529776858,3.1300760496133644
26,llama-3-70b-instruct,1206.0360586832214,1.1903041634138136
27,glm-4-0520,1206.4816319273411,2.9085372815147723
28,claude-3-sonnet-20240229,1200.8746958507334,1.3315439108533063
29,reka-flash-20240722,1200.3530970373847,3.586462060953337
30,reka-core-20240501,1199.3866525839944,1.4261183183985866
31,command-r-plus,1189.8309795781443,1.3790915375234813
32,gemma-2-9b-it,1187.2365157753272,1.95301017267381
33,qwen2-72b-instruct,1186.8381866243412,1.8986165594666335
34,gpt-4-0314,1185.9154534186528,1.4764003228482607
35,glm-4-0116,1182.4969604347557,3.2564004110635136
36,qwen-max-0428,1182.7344356391013,2.109020541261317
37,claude-3-haiku-20240307,1178.2501959460342,1.2718234745114736
38,deepseek-coder-v2,1177.7377294624657,2.5507275462245556
39,llama-3.1-8b-instruct,1167.4323407052998,2.388441686308639
40,reka-flash-preview-20240611,1164.77275648082,2.386749604410574
41,gpt-4-0613,1162.3363859544993,1.3255826110293902
42,qwen1.5-110b-chat,1161.660329058901,1.8815220581847951
43,mistral-large-2402,1157.0925727612894,1.3422086303879779
